"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Jose Abreu","White Sox","287","1246","55","153","201","4","5.9 %","20.9 %",".214",".309",".275",".328",".490",".341","116","-6.8","18.1","-29.7","3.1","15676"
"Yasiel Puig","- - -","274","1055","47","136","147","34","7.6 %","20.9 %",".206",".299",".267",".327",".473",".338","110","-0.7","11.9","-15.6","3.1","14225"
"Marwin Gonzalez","- - -","259","1015","31","113","123","3","8.3 %","22.1 %",".156",".305",".255",".323",".411",".316","98","-2.4","-4.6","-0.3","3.0","5497"
"Nick Markakis","Braves","278","1174","23","139","155","3","10.1 %","11.8 %",".140",".315",".292",".362",".432",".340","110","-5.3","8.9","-17.3","3.0","5930"
"Miguel Rojas","Marlins","285","1054","16","96","99","15","5.3 %","12.4 %",".095",".293",".268",".314",".363",".293","84","-8.0","-29.0","24.9","2.9","7802"
"Alex Gordon","Royals","291","1201","26","133","130","17","8.4 %","18.7 %",".127",".300",".256",".335",".383",".312","93","-2.4","-13.4","1.0","2.9","5209"
"Yolmer Sanchez","White Sox","304","1217","10","121","98","19","7.6 %","21.0 %",".102",".311",".246",".311",".349",".290","81","2.1","-26.1","12.3","2.8","11602"
"Jeimer Candelario","Tigers","238","1005","27","111","86","6","10.8 %","25.8 %",".156",".273",".216",".312",".372",".300","86","3.1","-15.1","7.7","2.7","13621"
"Rougned Odor","Rangers","274","1116","48","153","156","23","8.5 %","27.3 %",".204",".276",".228",".304",".432",".313","86","2.3","-17.7","6.2","2.7","12282"
"Freddy Galvis","- - -","309","1245","36","129","137","12","5.9 %","23.5 %",".154",".308",".254",".298",".408",".300","87","-0.7","-21.1","6.3","2.6","6609"
"Brandon Belt","Giants","268","1072","31","126","103","8","12.3 %","21.8 %",".165",".290",".242",".340",".408",".322","103","1.6","5.1","-13.8","2.6","10264"
"Elvis Andrus","Rangers","244","1076","18","134","105","36","5.8 %","15.1 %",".116",".300",".267",".311",".383",".298","76","5.7","-26.6","15.8","2.6","8709"
"Randal Grichuk","Blue Jays","275","1090","56","135","141","5","5.7 %","26.1 %",".239",".273",".238",".289",".476",".321","101","-4.2","-4.0","-7.8","2.6","10243"
"Brian Dozier","- - -","286","1114","41","135","122","15","11.8 %","21.0 %",".183",".253",".225",".320",".408",".315","94","-2.3","-10.0","-0.9","2.5","9810"
"Kole Calhoun","Angels","289","1184","52","163","131","10","10.4 %","24.9 %",".200",".253",".221",".305",".421",".308","94","-2.1","-10.1","-4.6","2.5","11200"
"C.J. Cron","- - -","265","1059","55","119","152","1","6.2 %","23.8 %",".228",".285",".253",".317",".482",".337","113","-7.6","8.4","-20.2","2.5","12546"
"Evan Longoria","Giants","254","1020","36","110","123","6","6.4 %","20.9 %",".176",".282",".249",".303",".424",".308","94","-1.5","-9.3","2.0","2.5","9368"
"Brandon Crawford","Giants","298","1154","25","121","113","7","8.9 %","20.7 %",".131",".289",".242",".315",".372",".294","84","-1.7","-25.3","11.5","2.4","5343"
"Josh Reddick","Astros","275","1037","31","120","103","12","8.2 %","13.8 %",".145",".275",".260",".318",".405",".309","96","0.3","-4.9","-9.6","2.1","3892"
"Jose Peraza","Reds","298","1086","20","122","91","30","4.2 %","12.2 %",".120",".292",".270",".311",".390",".302","84","2.7","-20.4","5.3","2.0","13593"
"Justin Smoak","Blue Jays","268","1094","47","121","138","0","14.8 %","23.9 %",".208",".262",".226",".346",".434",".337","112","-11.7","4.0","-23.2","1.9","9054"
"Eloy Jimenez","White Sox","122","504","31","69","79","0","6.0 %","26.6 %",".246",".308",".267",".315",".513",".343","116","1.8","12.3","-11.0","1.9","17484"
"Khris Davis","Athletics","284","1187","71","159","196","0","8.9 %","27.0 %",".240",".263",".235",".311",".475",".331","111","-7.0","7.8","-32.0","1.7","9112"
"Nomar Mazara","Rangers","244","1005","39","130","143","5","6.8 %","22.3 %",".188",".304",".263",".317",".451",".325","95","-1.1","-7.9","-12.4","1.4","14553"
"Joe Mauer","Twins","127","543","6","64","48","0","9.4 %","15.8 %",".097",".330",".282",".351",".379",".319","100","-0.2","-0.4","-7.3","1.1","1857"
"Dee Gordon","Mariners","258","1009","7","98","70","52","2.7 %","14.0 %",".082",".308",".271",".295",".353",".279","76","6.4","-23.3","-6.5","0.4","8203"
"Salvador Perez","Royals","129","544","27","52","80","1","3.1 %","19.9 %",".204",".245",".235",".274",".439",".304","89","-5.2","-12.6","-1.2","0.4","7304"
"Vladimir Guerrero Jr.","Blue Jays","123","514","15","52","69","0","8.9 %","17.7 %",".162",".308",".272",".339",".433",".329","105","-6.6","-3.4","-10.6","0.4","19611"
"Adam Jones","- - -","282","1141","31","120","130","9","4.8 %","17.0 %",".146",".305",".271",".313",".417",".312","92","-2.9","-14.4","-20.1","0.3","6368"
"Alcides Escobar","Royals","140","531","4","54","34","8","5.5 %","13.9 %",".082",".263",".231",".279",".313",".261","59","2.5","-23.4","2.9","-0.3","6310"
"Eric Hosmer","Padres","317","1344","40","144","168","7","7.6 %","22.7 %",".153",".312",".259",".316",".412",".309","93","-9.4","-21.3","-26.7","-0.5","3516"
"Albert Pujols","Angels","248","1043","42","105","157","4","6.8 %","12.8 %",".176",".242",".245",".297",".421",".304","91","-7.3","-18.4","-23.2","-0.6","1177"
"Ian Desmond","Rockies","300","1101","42","146","153","23","7.9 %","24.1 %",".202",".290",".244",".308",".447",".321","84","-1.7","-24.1","-20.2","-0.9","6885"
"Victor Martinez","Tigers","133","508","9","32","54","0","6.3 %","9.6 %",".103",".260",".251",".297",".353",".281","74","-4.1","-20.0","-13.3","-1.7","393"
